ground_temperature,air_temperature,surface_temperature(mod),bottom_temperature
-21.34,-14.75,-21.607,-21.34
-20.67,-13.83,-20.042,-20.67
-16.34,-13.47,-16.659,-16.34
-11.63,-9.91,-10.521,-11.63
-7.83,-7.4,-8.408,-7.83
-5.09,-2.81,-4.376,-5.09
-3.917,-0.73,-2.319,-3.917
-3.99,-0.14,-1.594,-3.99
-3.094,1.07,0.0,-3.094
-8.481,1.11,0.0,-8.481
-12.41,-2.73,-5.292,-12.41
-17.48,-4.43,-14.786,-17.48
-18.06,-8.29,-19.406,-18.06
-18.67,-9.44,-19.517,-18.67
-19.27,-10.88,-18.983,-19.27
-19.83,-12.01,-19.858,-19.83
-20.36,-12.74,-19.679,-20.36
-20.93,-13.32,-19.506,-20.93
-21.26,-13.94,-20.128,-21.26
-21.61,-13.78,-19.539,-21.61
-21.4,-15.14,-20.462,-21.4
-21.5,-15.48,-21.315,-21.5
-21.97,-16.25,-23.509,-21.97
-22.03,-16.88,-23.269,-22.03
-22.08,-17.19,-22.752,-22.08
-21.72,-17.11,-22.53,-21.72
-17.33,-15.17,-18.571,-17.33
-12.04,-11.92,-11.685,-12.04
-7.89,-9.53,-9.866,-7.89
-5.12,-3.4,-3.992,-5.12
-3.279,-0.79,-5.004,-3.279
-2.853,-0.32,-3.864,-2.853
-1.89,0.62,0.0,-1.89
-7.306,0.38,0.0,-7.306
-11.74,-2.88,-3.939,-11.74
-16.8,-5.12,-9.683,-16.8
-17.19,-8.19,-12.791,-17.19
-17.59,-8.8,-13.747,-17.59
-18.0,-10.05,-14.76,-18.0
-18.3,-11.45,-15.118,-18.3
-18.84,-11.53,-15.518,-18.84
-19.29,-11.71,-15.379,-19.29
-19.54,-12.05,-15.426,-19.54
-19.61,-12.44,-15.802,-19.61
-19.6,-12.9,-16.026,-19.6
-19.79,-13.05,-16.232,-19.79
-20.47,-12.89,-15.82,-20.47
-20.58,-13.28,-15.973,-20.58
-19.83,-12.84,-15.696,-19.83
-18.88,-9.54,-12.938,-18.88
-14.15,-8.77,-8.259,-14.15
-4.073,-7.47,0.0,-4.073
0.0,-5.3,0.0,0.0
-3.15,0.53,-3.15,-3.15
-1.1,0.45,-1.1,-1.1
-1.26,0.29,-1.26,-1.26
-2.47,1.68,-2.47,-2.47
-4.27,2.66,-4.27,-4.27
-8.64,0.68,-8.64,-8.64
-13.57,0.18,-13.57,-13.57
-14.23,-2.52,-14.23,-14.23
-14.04,-4.47,-14.04,-14.04
-14.73,-6.58,-14.73,-14.73
-15.49,-7.57,-15.49,-15.49
-15.94,-7.65,-15.94,-15.94
-16.22,-8.98,-16.22,-16.22
-16.25,-8.84,-16.25,-16.25
-16.93,-8.78,-16.93,-16.93
-17.79,-9.15,-17.79,-17.79
-17.82,-8.7,-17.82,-17.82
-18.23,-10.15,-18.23,-18.23
-17.7,-10.38,-17.7,-17.7
-17.77,-11.03,-17.77,-17.77
-15.96,-11.34,-15.96,-15.96
-11.68,-8.4,-11.68,-11.68
-7.09,-5.91,-7.09,-7.09
-3.32,-3.24,-3.32,-3.32
-1.54,0.24,-1.54,-1.54
-1.52,2.68,-1.52,-1.52
-1.61,-2.04,-1.61,-1.61
-2.49,-1.17,-2.49,-2.49
-5.07,-1.06,-5.07,-5.07
-7.65,-4.29,-7.65,-7.65
-11.69,-5.29,-11.69,-11.69
-11.62,-6.14,-11.62,-11.62
-12.59,-7.0,-12.59,-12.59
-13.12,-7.4,-13.12,-13.12
-12.67,-9.33,-12.67,-12.67
-11.2,-9.83,-11.2,-11.2
-11.4,-10.13,-11.4,-11.4
-11.78,-9.89,-11.78,-11.78
-12.14,-9.58,-12.339,-12.14
-11.37,-10.06,-13.337,-11.37
-11.66,-9.79,-13.296,-11.66
-11.41,-8.63,-10.481,-11.41
-11.94,-7.82,-9.924,-11.94
-12.09,-7.33,-12.947,-12.09
-12.96,-6.86,-17.286,-12.96
-8.13,-4.93,-14.74,-8.13
-4.7,-5.52,-8.921,-4.7
-3.12,-5.3,-4.516,-3.12
0.0,-3.61,-1.364,0.0
0.0,-3.4,-1.068,0.0
0.0,-2.93,-1.556,0.0
0.0,-1.82,-0.954,0.0
0.0,-1.54,-0.964,0.0
0.0,-3.45,-5.306,0.0
0.0,-4.13,-13.656,0.0
0.0,-5.74,-18.066,0.0
0.0,-5.13,-20.334,0.0
0.0,-5.42,-20.15,0.0
0.0,-6.1,-20.825,0.0
0.0,-7.28,-21.445,0.0
0.0,-7.88,-20.778,0.0
0.0,-8.77,-22.31,0.0
-5.686,-8.6,-26.993,-5.686
-11.77,-9.13,-29.267,-11.77
-11.8,-9.04,-28.003,-11.8
-10.37,-8.82,-24.884,-10.37
-12.05,-8.83,-24.222,-12.05
-12.13,-8.22,-23.966,-12.13
-11.02,-8.53,-25.944,-11.02
-8.12,-8.3,-21.205,-8.12
-5.93,-8.06,-10.321,-5.93
-4.78,-8.03,-7.246,-4.78
-4.03,-6.49,-4.871,-4.03
-4.46,-5.75,-4.127,-4.46
-4.5,-5.72,-3.884,-4.5
-5.21,-5.85,-5.231,-5.21
-4.64,-5.84,-5.408,-4.64
-6.08,-6.85,-9.856,-6.08
-6.79,-5.96,-14.267,-6.79
-7.38,-6.42,-15.846,-7.38
-7.6,-6.39,-19.699,-7.6
-8.28,-6.92,-22.826,-8.28
-7.52,-7.36,-23.963,-7.52
-8.42,-7.55,-26.264,-8.42
-7.91,-7.44,-26.923,-7.91
-7.91,-7.87,-29.9,-7.91
-7.72,-7.66,-30.788,-7.72
-8.17,-7.62,-29.956,-8.17
-8.71,-7.76,-30.817,-8.71
-9.35,-7.66,-31.262,-9.35
-9.14,-7.47,-30.284,-9.14
-10.36,-7.49,-30.744,-10.36
-10.32,-7.42,-30.091,-10.32
-7.57,-6.42,-23.86,-7.57
-6.63,-7.86,-20.375,-6.63
-4.87,-7.73,-10.872,-4.87
-4.35,-5.82,-4.906,-4.35
-4.06,-5.41,-5.077,-4.06
-4.52,-5.2,-4.339,-4.52
-5.14,-4.68,-3.531,-5.14
