sensible_heat,latent_heat,ground_temperature,rain_energy,outgoing_long_wave_radiation,incoming_long_wave_radiation,net_long_wave_radiation,reflected_short_wave_radiation,incoming_short_wave_radiation,net_short_wave_radiation,parametrized_albedo,incoming_short_wave_on_horizontal,direct_incoming_short_wave,diffuse_incoming_short_wave,air_temperature,surface_temperature(mod),bottom_temperature,relative_humidity,wind_velocity,wind_velocity_drift,wind_direction,solid_precipitation_rate,snow_height(mod),snow_height(meas),hoar_size,24h_height_of_new_snow,3d_sum_of_daily_height_of_new_snow,snow_water_equivalent,total_amount_of_water,rain_rate,virtual_lysimeter,sublimation_mass,evaporated_mass,stability_class,z_Sdef,deformation_rate_stability_index,z_Sn38,natural_stability_index,z_Sk38,Sk38_skier_stability_index,z_SSI,structural_stability_index
-25.326,-73.942,-12.25,0.0,265.769,164.18,-104.868,87.14,301.744,214.604,0.3,301.744,0.0,301.744,-9.42,-8.184,-12.25,73.6,1.6,1.6,323.0,0.576,1.594,-0.157,0.0,1.594,1.594,0.479,0.0,0.0,0.0,-0.157,0.0,-1.0,1.594,0.1,1.594,6.0,1.594,6.0,1.594,6.0
-17.04,-502.726,-8.61,0.0,277.339,171.237,-109.523,269.988,899.96,629.972,0.3,899.96,0.0,899.96,-9.03,-12.57,-8.61,76.6,1.6,1.6,321.0,0.0,0.747,0.043,0.0,0.747,0.747,0.224,0.0,0.0,0.0,-0.254,0.0,-1.0,0.747,0.1,0.747,6.0,0.747,6.0,0.747,6.0
-153.482,-91.36,-6.09,0.0,287.354,177.048,-113.842,293.799,1176.6,882.801,0.225,1176.6,0.0,1176.6,-7.37,-6.09,-6.09,75.8,1.5,1.5,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.082,-0.142,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
6.663,-94.805,-5.61,0.0,283.945,186.6,-101.073,240.939,1204.696,963.757,0.2,1204.696,0.0,1204.696,-4.42,-5.61,-5.61,65.2,1.0,1.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
9.922,-48.422,-3.6,0.0,290.103,193.095,-100.865,246.558,1232.792,986.234,0.2,1232.792,0.0,1232.792,-3.74,-3.6,-3.6,66.6,0.5,0.5,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
2.174,-35.097,-4.44,0.0,291.086,195.738,-99.258,252.178,1260.888,1008.71,0.2,1260.888,0.0,1260.888,-3.97,-4.44,-4.44,74.0,0.2,0.2,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
2.13,-2.61,-5.14,0.0,287.842,199.595,-92.234,257.797,1288.984,1031.187,0.2,1288.984,0.0,1288.984,-3.08,-5.14,-5.14,75.3,0.2,0.2,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-93.623,-44.662,-7.35,0.0,304.665,200.785,-107.891,329.621,1317.08,987.459,0.273,1317.08,0.0,1317.08,-3.33,-7.35,-7.35,75.6,0.0,0.0,195.0,0.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.862,0.0,-0.199,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
5.76,0.152,-10.24,0.0,269.928,191.88,-81.881,235.659,973.296,737.637,0.213,973.296,0.0,973.296,-5.85,-10.24,-10.24,74.3,0.5,0.5,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
39.248,8.404,-12.88,0.0,258.917,186.441,-76.201,79.133,395.664,316.531,0.2,395.664,0.0,395.664,-6.53,-12.88,-12.88,82.0,0.9,0.9,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
