sensible_heat,latent_heat,ground_temperature,rain_energy,outgoing_long_wave_radiation,incoming_long_wave_radiation,net_long_wave_radiation,reflected_short_wave_radiation,incoming_short_wave_radiation,net_short_wave_radiation,parametrized_albedo,incoming_short_wave_on_horizontal,direct_incoming_short_wave,diffuse_incoming_short_wave,air_temperature,surface_temperature(mod),bottom_temperature,relative_humidity,wind_velocity,wind_velocity_drift,wind_direction,solid_precipitation_rate,snow_height(mod),snow_height(meas),hoar_size,24h_height_of_new_snow,3d_sum_of_daily_height_of_new_snow,snow_water_equivalent,total_amount_of_water,rain_rate,virtual_lysimeter,sublimation_mass,evaporated_mass,stability_class,z_Sdef,deformation_rate_stability_index,z_Sn38,natural_stability_index,z_Sk38,Sk38_skier_stability_index,z_SSI,structural_stability_index
305.959,68.133,-16.61,0.0,240.204,174.478,-69.212,3.048,15.24,12.192,0.2,15.24,0.0,15.24,-7.37,-16.61,-16.61,75.4,1.7,1.7,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
66.558,26.207,-12.25,0.0,259.507,169.759,-93.139,66.506,301.744,235.238,0.225,301.744,0.0,301.744,-10.65,-12.25,-12.25,73.6,1.2,1.2,323.0,0.576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.606,-0.029,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-18.225,-71.467,-8.61,0.0,266.603,166.144,-103.778,179.992,899.96,719.968,0.2,899.96,0.0,899.96,-10.06,-8.61,-8.61,76.6,1.2,1.2,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-95.119,-139.556,-6.09,0.0,278.704,173.733,-108.442,235.32,1176.6,941.28,0.2,1176.6,0.0,1176.6,-7.87,-6.09,-6.09,75.8,1.1,1.1,315.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
0.154,-71.149,-5.61,0.0,283.945,186.772,-100.905,240.939,1204.696,963.757,0.2,1204.696,0.0,1204.696,-4.07,-5.61,-5.61,65.2,0.8,0.8,303.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
9.696,-19.594,-3.6,0.0,290.103,195.601,-98.41,246.558,1232.792,986.234,0.2,1232.792,0.0,1232.792,-3.17,-3.6,-3.6,66.6,0.4,0.4,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
3.517,-12.303,-4.44,0.0,291.086,198.641,-96.412,252.178,1260.888,1008.71,0.2,1260.888,0.0,1260.888,-3.42,-4.44,-4.44,74.0,0.2,0.2,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
1.786,-0.993,-5.14,0.0,287.842,203.311,-88.593,257.797,1288.984,1031.187,0.2,1288.984,0.0,1288.984,-2.29,-5.14,-5.14,75.3,0.1,0.1,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
-20.192,-128.085,-7.35,0.0,295.11,204.933,-94.27,329.621,1317.08,987.459,0.25,1317.08,0.0,1317.08,-2.56,-7.35,-7.35,75.6,0.0,0.0,195.0,0.961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.996,0.0,-0.065,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
2.845,0.195,-10.24,0.0,269.928,194.238,-79.569,194.659,973.296,778.637,0.2,973.296,0.0,973.296,-5.58,-10.24,-10.24,74.3,0.4,0.4,352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,6.0
